"Date","Price","Open","High","Low","Vol.","Change %"
"09-08-2024","24,383.50","24,367.00","24,455.00","24,300.00","45.96K","1.17%"
"08-08-2024","24,100.50","24,168.50","24,379.00","24,100.00","69.67K","-1.17%"
"07-08-2024","24,385.00","24,131.00","24,420.50","24,131.00","69.61K","1.41%"
"06-08-2024","24,045.00","24,251.00","24,404.50","23,992.00","78.39K","-0.41%"
"05-08-2024","24,143.00","24,415.00","24,461.00","23,830.00","110.58K","-2.31%"
"02-08-2024","24,715.00","24,845.50","24,891.50","24,543.50","67.60K","-1.36%"
"01-08-2024","25,055.00","25,158.00","25,158.00","24,861.00","42.16K","0.02%"
"31-07-2024","25,049.00","24,910.50","25,140.00","24,885.50","42.01K","0.48%"
"30-07-2024","24,930.50","24,882.50","25,034.50","24,825.00","43.83K","-0.09%"
"29-07-2024","24,952.50","24,997.50","25,097.50","24,822.00","47.22K","0.06%"
"26-07-2024","24,938.50","24,470.50","24,969.50","24,463.50","57.25K","2.18%"
"25-07-2024","24,406.10","24,283.00","24,420.00","24,147.50","45.36K","-0.03%"
"24-07-2024","24,414.00","24,387.50","24,485.00","24,251.00","72.28K","-0.23%"
"23-07-2024","24,471.00","24,537.00","24,564.00","24,064.00","146.49K","-0.16%"
"22-07-2024","24,510.50","24,457.50","24,612.00","24,375.00","105.43K","-0.10%"
"19-07-2024","24,534.00","24,778.00","24,889.50","24,416.50","56.90K","-1.29%"
"18-07-2024","24,853.50","24,681.50","24,922.00","24,543.50","64.19K","0.60%"
"17-07-2024","24,705.50","24,704.00","24,770.00","24,646.50","12.81K","0.16%"
"16-07-2024","24,667.00","24,638.00","24,784.00","24,611.50","30.14K","0.06%"
"15-07-2024","24,652.00","24,600.00","24,680.50","24,570.50","33.41K","0.43%"
"12-07-2024","24,546.00","24,483.00","24,675.50","24,413.50","44.68K","0.41%"
"11-07-2024","24,445.00","24,416.00","24,524.50","24,259.50","37.07K","0.26%"
"10-07-2024","24,381.50","24,492.50","24,513.50","24,232.50","45.90K","-0.38%"
"09-07-2024","24,474.50","24,398.50","24,542.50","24,366.50","34.66K","0.31%"
"08-07-2024","24,399.00","24,418.50","24,450.00","24,308.50","36.45K","0.12%"
"05-07-2024","24,370.00","24,381.00","24,449.00","24,269.00","36.19K","0.02%"
"04-07-2024","24,365.50","24,473.00","24,498.00","24,354.00","32.57K","-0.33%"
"03-07-2024","24,446.00","24,372.50","24,475.00","24,315.50","39.59K","0.43%"
"02-07-2024","24,342.00","24,265.00","24,342.00","24,144.00","41.56K","0.39%"
"01-07-2024","24,247.50","24,206.50","24,272.50","24,139.50","45.93K","0.45%"
