Date,Open,High,Low,Close,Adj Close,Volume,highest_sentiment
2017-08-14,1288.4000244140625,1288.4000244140625,1278.800048828125,1284.199951171875,1284.199951171875,338,0
2017-08-15,1280.5,1280.5,1267.4000244140625,1273.699951171875,1273.699951171875,188,0
2017-08-16,1271.300048828125,1282.5999755859375,1269.4000244140625,1276.9000244140625,1276.9000244140625,110,-1
2017-08-17,1283.800048828125,1288.5,1283.199951171875,1286.4000244140625,1286.4000244140625,43,-1
2017-08-18,1288.5999755859375,1300.699951171875,1284.300048828125,1285.699951171875,1285.699951171875,358,0
2017-08-21,1285.199951171875,1290.800048828125,1284.699951171875,1290.800048828125,1290.800048828125,18,-1
2017-08-22,1287.199951171875,1288.4000244140625,1283.199951171875,1285.0999755859375,1285.0999755859375,100,0
2017-08-23,1289.4000244140625,1289.4000244140625,1286.9000244140625,1288.9000244140625,1288.9000244140625,250,-1
2017-08-24,1288.699951171875,1288.699951171875,1284.0,1286.5,1286.5,550,0
2017-08-25,1285.4000244140625,1292.699951171875,1280.300048828125,1292.5,1292.5,280,-1
2017-08-28,1293.5,1311.300048828125,1293.5,1309.699951171875,1309.699951171875,145,-1
2017-08-29,1318.800048828125,1323.800048828125,1313.0999755859375,1313.0999755859375,1313.0999755859375,1178,-1
2017-08-30,1308.199951171875,1312.5,1304.9000244140625,1308.0999755859375,1308.0999755859375,1178,0
2017-08-31,1306.5999755859375,1322.300048828125,1301.699951171875,1316.199951171875,1316.199951171875,373,-1
2017-09-01,1320.199951171875,1327.699951171875,1316.9000244140625,1324.5,1324.5,313,-1
2017-09-05,1335.199951171875,1339.199951171875,1328.5999755859375,1339.199951171875,1339.199951171875,39,-1
2017-09-06,1340.0,1340.300048828125,1332.5999755859375,1333.9000244140625,1333.9000244140625,20,0
2017-09-07,1336.4000244140625,1349.0,1336.4000244140625,1345.0999755859375,1345.0999755859375,26,-1
2017-09-08,1351.0,1355.800048828125,1345.5999755859375,1346.0,1346.0,37,-1
2017-09-11,1331.0,1331.0,1327.300048828125,1331.0,1331.0,9,0
2017-09-12,1327.0,1328.0,1325.199951171875,1328.0,1328.0,15,0
2017-09-13,1323.4000244140625,1323.4000244140625,1323.4000244140625,1323.4000244140625,1323.4000244140625,16,0
2017-09-14,1319.5999755859375,1329.300048828125,1319.5999755859375,1324.699951171875,1324.699951171875,316,0
2017-09-15,1320.5999755859375,1321.199951171875,1319.800048828125,1320.4000244140625,1320.4000244140625,15,0
2017-09-18,1309.800048828125,1310.4000244140625,1306.0,1306.300048828125,1306.300048828125,129,0
2017-09-19,1307.9000244140625,1310.300048828125,1305.0999755859375,1306.199951171875,1306.199951171875,20,0
2017-09-20,1312.0,1312.0,1298.699951171875,1312.0,1312.0,12,-1
2017-09-21,1299.0999755859375,1304.0999755859375,1290.300048828125,1290.5999755859375,1290.5999755859375,336,0
2017-09-22,1295.0,1295.699951171875,1293.300048828125,1293.300048828125,1293.300048828125,209,0
2017-09-25,1293.0999755859375,1309.199951171875,1291.0,1306.800048828125,1306.800048828125,51,0
2017-09-26,1304.5,1305.5999755859375,1297.0,1297.0,1297.0,39,0
2017-09-27,1283.4000244140625,1283.4000244140625,1283.4000244140625,1283.4000244140625,1283.4000244140625,19488,0
2017-09-28,1283.0999755859375,1288.0,1277.0,1285.5,1285.5,5226,-1
2017-09-29,1284.199951171875,1289.4000244140625,1281.5,1281.5,1281.5,492,0
2017-10-02,1275.0,1276.0999755859375,1270.4000244140625,1272.699951171875,1272.699951171875,136,0
2017-10-03,1269.699951171875,1273.300048828125,1268.5999755859375,1271.5,1271.5,192,0
2017-10-04,1273.800048828125,1280.800048828125,1270.0,1273.699951171875,1273.699951171875,218,-1
2017-10-05,1277.800048828125,1277.800048828125,1267.5999755859375,1269.9000244140625,1269.9000244140625,36,-1
2017-10-06,1267.5999755859375,1272.0,1260.5,1271.5999755859375,1271.5999755859375,46,0
2017-10-09,1280.5999755859375,1284.0,1279.0,1281.800048828125,1281.800048828125,19,-1
2017-10-10,1282.5999755859375,1293.0,1281.699951171875,1290.5999755859375,1290.5999755859375,18,-1
2017-10-11,1287.300048828125,1292.0,1284.9000244140625,1285.800048828125,1285.800048828125,21,0
2017-10-12,1291.5,1294.5,1289.300048828125,1293.300048828125,1293.300048828125,14,-1
2017-10-13,1293.300048828125,1301.699951171875,1291.699951171875,1301.5,1301.5,74,-1
2017-10-16,1302.0,1303.800048828125,1291.9000244140625,1299.9000244140625,1299.9000244140625,173,-1
2017-10-17,1295.0999755859375,1295.0999755859375,1283.0,1283.0,1283.0,571,0
2017-10-18,1279.9000244140625,1279.9000244140625,1279.9000244140625,1279.9000244140625,1279.9000244140625,163,0
2017-10-19,1286.4000244140625,1286.9000244140625,1285.0999755859375,1286.9000244140625,1286.9000244140625,134,-1
